VisitID	NosepokeOrder	Animal	Tag	Sex	Group	Cage	Corner	Side	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	NosepokeDuration	LickStartTime
1018	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	18:08:49.875	28658.532	2016-07-20	18:08:49.921	28658.578	0.046	
1018	2	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	18:08:52.546	28661.203	2016-07-20	18:08:53.421	28662.078	0.875	
1018	3	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	2	Incorrect	1	0	0	0	0	0	2016-07-20	18:08:57.578	28666.235	2016-07-20	18:08:57.687	28666.344	0.109	
1018	4	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	18:09:03.187	28671.844	2016-07-20	18:09:03.468	28672.125	0.281	
1018	5	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	18:09:03.750	28672.407	2016-07-20	18:09:03.875	28672.532	0.125	
1018	6	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	18:09:06.265	28674.922	2016-07-20	18:09:06.328	28674.985	0.063	
1018	7	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	2	Incorrect	1	0	0	0	0	0	2016-07-20	18:09:12.234	28680.891	2016-07-20	18:09:12.328	28680.985	0.094	
1018	8	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	18:09:13.546	28682.203	2016-07-20	18:09:13.562	28682.219	0.016	
1019	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	4	Neutral	0	0	0	157	12.984375	4.914	2016-07-20	18:09:50.921	28719.578	2016-07-20	18:10:05.968	28734.625	15.047	
1019	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	3	Correct	0	0	0	0	0	0	2016-07-20	18:10:07.656	28736.313	2016-07-20	18:10:09.640	28738.297	1.984	
1019	2	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	3	Correct	0	0	0	0	0	0	2016-07-20	18:10:10.796	28739.453	2016-07-20	18:10:11.718	28740.375	0.922	
1020	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	2	Incorrect	1	0	0	0	0	0	2016-07-20	18:11:11.546	28800.203	2016-07-20	18:11:11.593	28800.25	0.047	
1020	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	2	Incorrect	1	0	0	0	0	0	2016-07-20	18:11:11.640	28800.297	2016-07-20	18:11:11.921	28800.578	0.281	
1020	2	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	2	Incorrect	1	0	0	0	0	0	2016-07-20	18:11:11.953	28800.61	2016-07-20	18:11:12.125	28800.782	0.172	
1020	3	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	18:11:13.531	28802.188	2016-07-20	18:11:13.953	28802.61	0.422	
1020	4	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	2	Incorrect	1	0	0	0	0	0	2016-07-20	18:11:28.000	28816.657	2016-07-20	18:11:28.375	28817.032	0.375	
1157	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	4	7	Incorrect	1	0	0	0	0	0	2016-07-20	19:51:54.468	34843.125	2016-07-20	19:51:55.171	34843.828	0.703	
1157	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	4	8	Incorrect	1	0	0	0	0	0	2016-07-20	19:51:55.796	34844.453	2016-07-20	19:51:56.718	34845.375	0.922	
1158	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	2	Incorrect	1	0	0	0	0	0	2016-07-20	19:52:11.609	34860.266	2016-07-20	19:52:12.140	34860.797	0.531	
1158	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	19:52:15.609	34864.266	2016-07-20	19:52:15.687	34864.344	0.078	
1158	2	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	19:52:16.609	34865.266	2016-07-20	19:52:18.578	34867.235	1.969	
1158	3	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	2	Incorrect	1	0	0	0	0	0	2016-07-20	19:52:19.218	34867.875	2016-07-20	19:52:19.609	34868.266	0.391	
1180	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	20:05:43.437	35672.094	2016-07-20	20:05:44.093	35672.75	0.656	
1181	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	3	6	Incorrect	1	0	0	0	0	0	2016-07-20	20:05:57.046	35685.703	2016-07-20	20:05:57.250	35685.907	0.204	
1182	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	4	8	Incorrect	1	0	0	0	0	0	2016-07-20	20:06:17.437	35706.094	2016-07-20	20:06:17.671	35706.328	0.234	
1182	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	4	8	Incorrect	1	0	0	0	0	0	2016-07-20	20:06:17.734	35706.391	2016-07-20	20:06:18.234	35706.891	0.5	
1182	2	FVB strain animal 6	981098106285524	Female	FVB strain	3	4	8	Incorrect	1	0	0	0	0	0	2016-07-20	20:06:18.359	35707.016	2016-07-20	20:06:18.515	35707.172	0.156	
1182	3	FVB strain animal 6	981098106285524	Female	FVB strain	3	4	8	Incorrect	1	0	0	0	0	0	2016-07-20	20:06:18.562	35707.219	2016-07-20	20:06:18.609	35707.266	0.047	
1183	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	4	Neutral	0	0	0	0	0	0	2016-07-20	20:07:05.859	35754.516	2016-07-20	20:07:05.953	35754.61	0.094	
1183	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	4	Neutral	0	0	0	57	6.746	0.896	2016-07-20	20:07:06.812	35755.469	2016-07-20	20:07:15.953	35764.61	9.141	
1184	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	3	Correct	0	0	0	0	0	0	2016-07-20	20:07:20.500	35769.157	2016-07-20	20:07:21.109	35769.766	0.609	
1187	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	3	5	Incorrect	1	0	0	0	0	0	2016-07-20	20:09:53.125	35921.782	2016-07-20	20:09:54.828	35923.485	1.703	
1187	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	3	5	Incorrect	1	0	0	0	0	0	2016-07-20	20:09:55.859	35924.516	2016-07-20	20:09:55.890	35924.547	0.031	
1188	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	4	7	Incorrect	1	0	0	0	0	0	2016-07-20	20:10:04.843	35933.5	2016-07-20	20:10:04.875	35933.532	0.032	
1188	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	4	8	Incorrect	1	0	0	0	0	0	2016-07-20	20:10:13.625	35942.282	2016-07-20	20:10:14.015	35942.672	0.39	
1188	2	FVB strain animal 6	981098106285524	Female	FVB strain	3	4	8	Incorrect	1	0	0	0	0	0	2016-07-20	20:10:14.109	35942.766	2016-07-20	20:10:14.125	35942.782	0.016	
1188	3	FVB strain animal 6	981098106285524	Female	FVB strain	3	4	8	Incorrect	1	0	0	0	0	0	2016-07-20	20:10:14.140	35942.797	2016-07-20	20:10:14.671	35943.328	0.531	
1188	4	FVB strain animal 6	981098106285524	Female	FVB strain	3	4	7	Incorrect	1	0	0	0	0	0	2016-07-20	20:10:15.906	35944.563	2016-07-20	20:10:15.921	35944.578	0.015	
1188	5	FVB strain animal 6	981098106285524	Female	FVB strain	3	4	7	Incorrect	1	0	0	0	0	0	2016-07-20	20:10:16.062	35944.719	2016-07-20	20:10:17.031	35945.688	0.969	
1188	6	FVB strain animal 6	981098106285524	Female	FVB strain	3	4	7	Incorrect	1	0	0	0	0	0	2016-07-20	20:10:21.484	35950.141	2016-07-20	20:10:21.500	35950.157	0.016	
1190	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	2	Incorrect	1	0	0	0	0	0	2016-07-20	20:10:31.250	35959.907	2016-07-20	20:10:31.281	35959.938	0.031	
1190	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	20:10:32.125	35960.782	2016-07-20	20:10:32.453	35961.11	0.328	
1190	2	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	2	Incorrect	1	0	0	0	0	0	2016-07-20	20:10:38.000	35966.657	2016-07-20	20:10:39.531	35968.188	1.531	
1190	3	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	20:10:51.718	35980.375	2016-07-20	20:10:52.781	35981.438	1.063	
1190	4	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	20:10:53.484	35982.141	2016-07-20	20:11:03.078	35991.735	9.594	
1190	5	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	20:11:03.921	35992.578	2016-07-20	20:11:06.312	35994.969	2.391	
1190	6	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	20:11:06.390	35995.047	2016-07-20	20:11:06.484	35995.141	0.094	
1190	7	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	20:11:06.531	35995.188	2016-07-20	20:11:10.812	35999.469	4.281	
1190	8	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	20:11:10.875	35999.532	2016-07-20	20:11:22.875	36011.532	12	
1190	9	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	20:11:22.921	36011.578	2016-07-20	20:11:23.171	36011.828	0.25	
1190	10	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	20:11:23.250	36011.907	2016-07-20	20:11:23.906	36012.563	0.656	
1197	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	4	Neutral	0	0	0	0	0	0	2016-07-20	20:15:22.968	36251.625	2016-07-20	20:15:23.250	36251.907	0.282	
1197	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	3	Correct	0	0	0	0	0	0	2016-07-20	20:15:23.812	36252.469	2016-07-20	20:15:24.000	36252.657	0.188	
1348	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	3	6	Incorrect	1	0	0	0	0	0	2016-07-21	00:06:50.881	50139.538	2016-07-21	00:06:51.187	50139.844	0.306	
1348	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	3	5	Incorrect	1	0	0	0	0	0	2016-07-21	00:06:52.750	50141.407	2016-07-21	00:06:53.781	50142.438	1.031	
1348	2	FVB strain animal 6	981098106285524	Female	FVB strain	3	3	5	Incorrect	1	0	0	0	0	0	2016-07-21	00:06:55.390	50144.047	2016-07-21	00:06:56.500	50145.157	1.11	
1348	3	FVB strain animal 6	981098106285524	Female	FVB strain	3	3	6	Incorrect	1	0	0	0	0	0	2016-07-21	00:06:58.453	50147.11	2016-07-21	00:06:59.062	50147.719	0.609	
1359	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	2	Incorrect	1	0	0	0	0	0	2016-07-21	00:12:55.812	50504.469	2016-07-21	00:12:57.328	50505.985	1.516	
1359	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-21	00:12:57.250	50505.907	2016-07-21	00:12:58.875	50507.532	1.625	
